ticker,timeframe,feature_set,confirmations,leverage,cooldown_hours,covariance_type,wf_sharpe,wf_return,wf_drawdown,wf_n_windows,wf_pos_windows,wf_trades,wf_win_rate,wf_mean_sharpe,wf_std_sharpe,wf_mean_return,wf_std_return,wf_initial_equity,wf_final_equity
X:SOLUSD,3h,base,8,1.0,48,diag,0.604,1.33,-4.54,2,1,3,66.7,0.427,0.427,0.67,0.67,10000.0,10133.19
X:SOLUSD,3h,extended,8,1.0,72,full,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
X:SOLUSD,1h,base,7,1.5,48,full,0.114,0.04,-13.1,2,1,39,46.2,0.059,0.606,0.07,3.27,10000.0,10003.53
X:ETHUSD,2h,extended,8,1.0,48,diag,-1.748,-5.54,-7.7,2,1,4,50.0,-0.945,2.425,-2.72,4.04,10000.0,9446.02
X:XRPUSD,1h,base,8,1.0,72,full,-0.586,-2.16,-5.04,2,1,9,33.3,-0.603,1.288,-1.06,2.22,10000.0,9784.42
X:BTCUSD,3h,full,8,2.0,72,diag,2.116,19.06,-9.6,5,3,13,69.2,2.411,2.975,3.7,5.53,10000.0,11905.65
X:XRPUSD,1h,extended,8,1.5,48,diag,0.04,-2.26,-26.67,2,0,15,40.0,-0.166,0.281,-1.14,0.39,10000.0,9773.79
X:BTCUSD,1h,base,6,1.5,72,full,-1.562,-31.49,-33.48,5,1,121,29.8,-1.964,1.388,-7.19,4.3,10000.0,6851.21
X:SOLUSD,2h,full,6,1.0,72,full,-2.05,-10.56,-13.52,2,0,34,38.2,-2.035,0.4,-5.42,1.2,10000.0,8943.93
X:SOLUSD,2h,extended,8,2.0,48,diag,0.703,5.32,-21.12,2,1,11,54.5,0.998,1.79,3.02,8.99,10000.0,10532.22
X:ETHUSD,1h,full,8,2.0,72,diag,0.076,-0.39,-22.08,2,1,12,50.0,0.811,1.929,0.2,8.86,10000.0,9960.73
X:XRPUSD,2h,extended,7,1.5,48,diag,2.555,29.77,-19.79,2,1,24,41.7,2.262,2.124,14.91,15.11,10000.0,12977.31
X:SOLUSD,3h,extended,7,1.0,48,full,3.953,20.73,-5.29,2,2,7,85.7,3.8,1.404,10.21,8.45,10000.0,12073.05
X:BTCUSD,4h,extended,6,1.5,48,diag,-1.045,-21.05,-41.95,5,3,77,42.9,-0.892,3.873,-3.63,13.5,10000.0,7894.71
X:XRPUSD,2h,extended,8,1.5,72,diag,3.285,14.93,-3.33,2,2,7,71.4,2.599,2.174,7.44,7.05,10000.0,11492.9
X:BTCUSD,3h,base,6,1.0,48,diag,-1.023,-13.99,-26.27,5,2,68,41.2,-2.015,3.526,-2.64,8.09,10000.0,8600.67
